case,experiment,input_kind,efficiency_mode,h0,h1,sector,sigma_sub,omega,eta_I,e_q,peak,hours_mixing,kappa,A_req_pct,A_req_frozen_pct,dY_pct,dInf_pp,dGHH_pct,CE_pct,classification
2,CES_grid,reprocessed,bilateral,120.0,36,agriculture,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,4.1572591405079296,3.996454600430255,-4.887845874484443,1.0088796089911534,-1.4078999631364342,-1.1028549711235398,sensitivity_not_identified_set
2,CES_grid,reprocessed,bilateral,120.0,36,industry,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,5.7949664878772955,5.817566471059865,-5.484651305985633,0.21747221349338597,0.7164672190263931,0.5612326549040079,sensitivity_not_identified_set
2,CES_grid,reprocessed,bilateral,120.0,36,services,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,4.704789681672161,4.756454819291944,-4.5558487088407045,-0.07087069807339974,2.352790605613606,1.8430193077306583,sensitivity_not_identified_set
2,CES_grid,reprocessed,bilateral,120.0,36,AGGREGATE,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,4.90944506435631,4.953022498639337,-4.79742832585387,0.06996645370465071,1.7156011162210931,1.343887541039856,sensitivity_not_identified_set
2,CES_grid,reprocessed,flat_below,120.0,40,agriculture,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,-0.8524401610011445,-0.8201280102926423,1.054688940229087,-0.21415970629679038,4.357602140038615,3.4134550096969156,sensitivity_not_identified_set
2,CES_grid,reprocessed,flat_below,120.0,40,industry,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,0.6102685099531602,0.6124430718431828,-0.607339528171813,0.023633911682902076,2.962530086334828,2.320648567628948,sensitivity_not_identified_set
2,CES_grid,reprocessed,flat_below,120.0,40,services,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,-0.06206314186333328,-0.06271676843011553,0.06295539694891605,0.0009068887970087314,4.334895958200332,3.3956685005902596,sensitivity_not_identified_set
2,CES_grid,reprocessed,flat_below,120.0,40,AGGREGATE,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,0.025931162737724556,0.04233454494280142,-0.026576118864518605,-0.010730503858158436,4.021938851454779,3.150518766972911,sensitivity_not_identified_set
2,CES_grid,reprocessed,flat_below,120.0,36,agriculture,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,2.8880088882444976,2.7768318936429948,-3.4370203450794,0.7063580846792039,0.4453475783552363,0.348855603044935,sensitivity_not_identified_set
2,CES_grid,reprocessed,flat_below,120.0,36,industry,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,4.477897688510413,4.495102757037461,-4.291595420651362,0.16862789910274678,2.2407679761060497,1.7552682479497386,sensitivity_not_identified_set
2,CES_grid,reprocessed,flat_below,120.0,36,services,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,3.4191100304197697,3.4564220888203323,-3.352315002560191,-0.05200066101335721,3.8890825279833576,3.04644798025363,sensitivity_not_identified_set
2,CES_grid,reprocessed,flat_below,120.0,36,AGGREGATE,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,3.615023564690234,3.650321583579541,-3.5766873573925606,0.05062470491977722,3.2742353196757104,2.564817667079307,sensitivity_not_identified_set
3,CES_grid,reprocessed,bilateral,120.0,40,agriculture,1.1,0.622,0.3,0.6,40.0,0.0,0.0021098039890823555,-0.9901116235862872,-0.9556350706496075,1.362146077294235,-0.29151024569868955,4.744483985127356,3.7165124550164297,sensitivity_not_identified_set
3,CES_grid,reprocessed,bilateral,120.0,40,industry,1.1,0.622,0.3,0.6,40.0,0.0,0.0021098039890823555,0.7111606713333662,0.7048490338347646,-0.7141450510956382,0.0885383490747238,2.8289032689439826,2.215974227339453,sensitivity_not_identified_set
3,CES_grid,reprocessed,bilateral,120.0,40,services,1.1,0.622,0.3,0.6,40.0,0.0,0.0021098039890823555,-0.07372362383648579,-0.0736678987323991,0.07378392378942777,-0.004250723923832078,4.348435311214926,3.406274327118359,sensitivity_not_identified_set
3,CES_grid,reprocessed,bilateral,120.0,40,AGGREGATE,1.1,0.622,0.3,0.6,40.0,0.0,0.0021098039890823555,0.030662643711876214,0.05276557310600616,-0.03142585077406945,-0.007009701158211534,4.015710947242923,3.1456402420069565,sensitivity_not_identified_set
3,CES_grid,reprocessed,bilateral,120.0,36,agriculture,1.1,0.622,0.3,0.6,40.0,0.0,0.0021098039890823555,4.797948586051648,4.626447617073692,-6.201439352597893,1.3470913261381834,-3.0860924591191394,-2.4174390929766596,sensitivity_not_identified_set
3,CES_grid,reprocessed,bilateral,120.0,36,industry,1.1,0.622,0.3,0.6,40.0,0.0,0.0021098039890823555,6.726455684154864,6.666238999169627,-6.376393499532595,0.8298870993924012,-0.43761561050331954,-0.342798894894267,sensitivity_not_identified_set
3,CES_grid,reprocessed,bilateral,120.0,36,services,1.1,0.622,0.3,0.6,40.0,0.0,0.0021098039890823555,5.437617790592775,5.434450477827024,-5.157614899770103,0.3071999838408779,1.581888108952709,1.2391456853462888,sensitivity_not_identified_set
